anime_id,title,format,episodes,duration,status,genres,average_score,popularity,studios
1154,E.Y.E.S. of Mars,MOVIE,1,80,FINISHED,"Adventure, Drama, Sci-Fi",44,466,Toei Animation
6833,Ninja Fireball in Edo,MOVIE,1,1,FINISHED,Action,34,528,We've
3887,Big Windup!: The Basics of Basics,SPECIAL,1,24,FINISHED,"Drama, Sports",69,3061,"A-1 Pictures, TBS, Kodansha, Movic, Aniplex, Mainichi Broadcasting System"
10445,Perfect Day,MUSIC,1,5,FINISHED,,68,3005,MADHOUSE
1254,Saint Seiya: Knights of the Zodiac,TV,114,24,FINISHED,"Action, Adventure, Fantasy, Sci-Fi",73,36449,"Toei Animation, TV Asahi, Selecta Visión, ADV Films, DiC Entertainment"
11813,Kenichi: The Mightiest Disciple: The Attack of Darkness,OVA,11,27,FINISHED,"Action, Comedy",76,10647,"Brain's Base, Shogakukan-Shueisha Productions"
16608,Shitcom,ONA,1,1,FINISHED,"Comedy, Romance",23,9780,
3473,The Genesis,MOVIE,1,4,FINISHED,,50,708,Mushi Production
2284,Transformers: Robots in Disguise,TV,39,21,FINISHED,"Adventure, Comedy, Mecha, Sci-Fi",59,1352,"NAS, Hasbro, Takara Tomy, Studio Gallop, Dongwoo Animation, TV Tokyo"
12935,Utakata Hanabi,MUSIC,1,6,FINISHED,,58,1024,MADHOUSE
1023,Wolf's Rain OVA,OVA,4,23,FINISHED,"Adventure, Drama, Psychological, Sci-Fi, Supernatural",77,11458,"bones, Asatsu DK, Bandai Entertainment"
2789,Battle B-Daman,TV,52,23,FINISHED,"Adventure, Fantasy",59,3032,"d-rights, Heewon Entertainment, Nippon Animation, Sonokong, Synergy Japan, Takara Tomy, Shogakukan"
2156,Bakugan Battle Brawlers,TV,52,24,FINISHED,"Action, Fantasy",62,26543,"TMS Entertainment, Warner Bros. Japan, Nelvana"
2390,Kirby: Right Back at Ya!,TV,100,24,FINISHED,"Action, Adventure, Comedy, Fantasy, Slice of Life",67,9873,"CBC, 4Kids Entertainment, Nintendo Co. Ltd., Studio Comet, Warpstar Inc., Studio Sign"
